,Labels,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",Year
0,SEX AND AGE,,,,,,,,,,,2016
1,Total population,"73,112","125,770","140,908","4,242,997","205,249","110,026","1,016,206","418,540","225,562","205,631",2016
2,Male,"35,514","63,326","70,483","2,097,936","103,278","55,099","499,791","217,387","110,885","106,203",2016
3,Female,"37,598","62,444","70,425","2,145,061","101,971","54,927","516,415","201,153","114,677","99,428",2016
4,Under 5 years,"4,860","7,557","7,624","281,761","8,957","7,792","59,029","24,446","8,356","14,916",2016
5,5 to 9 years,"5,747","8,255","7,568","288,903","10,546","8,794","60,807","29,550","11,747","15,975",2016
6,10 to 14 years,"6,483","7,328","8,614","292,454","10,456","8,458","59,594","27,845","10,526","13,007",2016
7,15 to 19 years,"6,335","7,740","17,372","289,116","11,038","8,186","69,655","25,962","13,227","14,426",2016
8,20 to 24 years,"4,507","7,052","17,864","283,922","8,980","6,037","90,201","23,018","9,437","17,572",2016
9,25 to 34 years,"8,994","16,154","17,194","608,882","21,037","14,279","125,100","53,102","19,565","27,534",2016
10,35 to 44 years,"8,398","13,584","15,174","552,398","18,042","11,511","113,791","55,455","19,362","22,430",2016
11,45 to 54 years,"8,546","14,883","15,893","543,539","24,481","12,347","115,628","46,625","26,041","21,716",2016
12,55 to 59 years,"4,035","6,754","9,026","248,578","16,295","7,231","61,688","25,932","16,804","9,736",2016
13,60 to 64 years,"4,574","9,911","7,932","233,515","16,476","7,061","66,979","23,195","23,117","10,323",2016
14,65 to 74 years,"6,498","15,466","10,498","362,189","34,795","11,143","110,989","52,074","40,051","19,458",2016
15,75 to 84 years,"3,139","8,457","4,266","185,429","17,608","5,611","60,334","25,343","20,373","15,180",2016
16,85 years and over,996,"2,629","1,883","72,311","6,538","1,576","22,411","5,993","6,956","3,358",2016
17,Median age (years),34.6,40.8,30.9,36.2,50.6,36.3,38.3,39.2,53.1,34.8,2016
18,18 years and over,"52,162","97,976","111,864","3,202,882","168,384","79,312","798,539","320,300","188,282","153,248",2016
19,21 years and over,"48,377","93,286","94,670","3,034,378","162,605","75,388","746,088","307,208","177,494","144,684",2016
20,62 years and over,"12,522","32,806","21,267","754,123","69,233","21,644","233,282","98,009","81,352","44,135",2016
21,65 years and over,"10,633","26,552","16,647","619,929","58,941","18,330","193,734","83,410","67,380","37,996",2016
22,18 years and over,"52,162","97,976","111,864","3,202,882","168,384","79,312","798,539","320,300","188,282","153,248",2016
23,Male,"25,596","49,647","55,340","1,566,693","84,431","39,528","388,711","167,581","91,160","79,264",2016
24,Female,"26,566","48,329","56,524","1,636,189","83,953","39,784","409,828","152,719","97,122","73,984",2016
25,65 years and over,"Apache County, Arizona","Cochise County, Arizona","Coconino County, Arizona","Maricopa County, Arizona","Mohave County, Arizona","Navajo County, Arizona","Pima County, Arizona","Pinal County, Arizona","Yavapai County, Arizona","Yuma County, Arizona",2016
26,Male,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,2016
27,Female,"10,633","26,552","16,647","619,929","58,941","18,330","193,734","83,410","67,380","37,996",2016
