,County,Value,State (Rate),Year,Content.Area,State (Avg)
0,MOHAVE,46.53,37.22,2019,Asthma,
1,GILA,46.12,37.22,2019,Asthma,
2,SANTA CRUZ,45.36,37.22,2019,Asthma,
3,MARICOPA,39.9,37.22,2019,Asthma,
4,COCHISE,39.35,37.22,2019,Asthma,
5,YUMA,34.12,37.22,2019,Asthma,
6,LA PAZ,32.73,37.22,2019,Asthma,
7,PIMA,32.58,37.22,2019,Asthma,
8,PINAL,32.58,37.22,2019,Asthma,
9,GRAHAM,31.95,37.22,2019,Asthma,
10,APACHE,30.53,37.22,2019,Asthma,
11,YAVAPAI,28.94,37.22,2019,Asthma,
12,NAVAJO,22.74,37.22,2019,Asthma,
13,COCONINO,19.71,37.22,2019,Asthma,
14,GREENLEE,14.05,37.22,2019,Asthma,
15,GILA,56.98,37.65,2018,Asthma,
16,COCHISE,49.79,37.65,2018,Asthma,
17,LA PAZ,48.27,37.65,2018,Asthma,
18,MOHAVE,44.17,37.65,2018,Asthma,
19,GRAHAM,42.28,37.65,2018,Asthma,
20,SANTA CRUZ,41.28,37.65,2018,Asthma,
21,MARICOPA,40.18,37.65,2018,Asthma,
22,PINAL,33.7,37.65,2018,Asthma,
23,YAVAPAI,33.31,37.65,2018,Asthma,
24,PIMA,32.49,37.65,2018,Asthma,
25,YUMA,26.31,37.65,2018,Asthma,
26,APACHE,25.51,37.65,2018,Asthma,
27,COCONINO,24.18,37.65,2018,Asthma,
28,NAVAJO,24,37.65,2018,Asthma,
29,GREENLEE,20.07,37.65,2018,Asthma,
30,GILA,56.6,39.79,2017,Asthma,
31,MOHAVE,53.34,39.79,2017,Asthma,
32,GRAHAM,44.69,39.79,2017,Asthma,
33,MARICOPA,43.33,39.79,2017,Asthma,
34,SANTA CRUZ,38.96,39.79,2017,Asthma,
35,COCHISE,38.62,39.79,2017,Asthma,
36,LA PAZ,37.36,39.79,2017,Asthma,
37,YAVAPAI,34.4,39.79,2017,Asthma,
38,PINAL,33.09,39.79,2017,Asthma,
39,PIMA,32.36,39.79,2017,Asthma,
40,APACHE,29.8,39.79,2017,Asthma,
41,YUMA,28.89,39.79,2017,Asthma,
42,NAVAJO,28.69,39.79,2017,Asthma,
43,COCONINO,22.63,39.79,2017,Asthma,
44,GREENLEE,9.21,39.79,2017,Asthma,
45,GILA,63.93,40.94,2016,Asthma,
46,GRAHAM,50.59,40.94,2016,Asthma,
47,LA PAZ,48.72,40.94,2016,Asthma,
48,MOHAVE,45.67,40.94,2016,Asthma,
49,MARICOPA,43.57,40.94,2016,Asthma,
50,SANTA CRUZ,42.64,40.94,2016,Asthma,
51,COCHISE,42.34,40.94,2016,Asthma,
52,YAVAPAI,41.44,40.94,2016,Asthma,
53,PIMA,36.55,40.94,2016,Asthma,
54,PINAL,34.59,40.94,2016,Asthma,
55,NAVAJO,33.74,40.94,2016,Asthma,
56,YUMA,31.61,40.94,2016,Asthma,
57,APACHE,28.59,40.94,2016,Asthma,
58,COCONINO,23.33,40.94,2016,Asthma,
59,GREENLEE,19.56,40.94,2016,Asthma,
60,LA PAZ,64.82,42.64,2015,Asthma,
61,GRAHAM,60.38,42.64,2015,Asthma,
62,GILA,54.54,42.64,2015,Asthma,
63,MOHAVE,52.1,42.64,2015,Asthma,
64,MARICOPA,45.55,42.64,2015,Asthma,
65,PINAL,40.25,42.64,2015,Asthma,
66,YAVAPAI,40.1,42.64,2015,Asthma,
67,SANTA CRUZ,37.34,42.64,2015,Asthma,
68,YUMA,37.23,42.64,2015,Asthma,
69,PIMA,35.87,42.64,2015,Asthma,
70,COCHISE,35.79,42.64,2015,Asthma,
71,NAVAJO,33.56,42.64,2015,Asthma,
72,APACHE,32.24,42.64,2015,Asthma,
73,COCONINO,21.98,42.64,2015,Asthma,
74,GREENLEE,21.09,42.64,2015,Asthma,
75,GRAHAM,60.19,42.61,2014,Asthma,
76,LA PAZ,58.37,42.61,2014,Asthma,
77,GILA,53.07,42.61,2014,Asthma,
78,MOHAVE,51.84,42.61,2014,Asthma,
79,MARICOPA,45.62,42.61,2014,Asthma,
80,YAVAPAI,45.41,42.61,2014,Asthma,
81,COCHISE,44.4,42.61,2014,Asthma,
82,YUMA,39.85,42.61,2014,Asthma,
83,PINAL,38.68,42.61,2014,Asthma,
84,APACHE,37.5,42.61,2014,Asthma,
85,SANTA CRUZ,36.36,42.61,2014,Asthma,
86,PIMA,33.78,42.61,2014,Asthma,
87,NAVAJO,29.95,42.61,2014,Asthma,
88,GREENLEE,25.06,42.61,2014,Asthma,
89,COCONINO,21.88,42.61,2014,Asthma,
90,LA PAZ,63.19,40.73,2013,Asthma,
91,GILA,53.56,40.73,2013,Asthma,
92,MOHAVE,52.56,40.73,2013,Asthma,
93,YUMA,46.07,40.73,2013,Asthma,
94,COCHISE,45.9,40.73,2013,Asthma,
95,GRAHAM,45.69,40.73,2013,Asthma,
96,YAVAPAI,44.26,40.73,2013,Asthma,
97,MARICOPA,43.12,40.73,2013,Asthma,
98,APACHE,41.07,40.73,2013,Asthma,
99,PINAL,37.91,40.73,2013,Asthma,
100,NAVAJO,32.2,40.73,2013,Asthma,
101,PIMA,31.22,40.73,2013,Asthma,
102,SANTA CRUZ,25.64,40.73,2013,Asthma,
103,COCONINO,22.2,40.73,2013,Asthma,
104,GREENLEE,11.25,40.73,2013,Asthma,
105,LA PAZ,68.09,45.59,2012,Asthma,
106,GRAHAM,64.14,45.59,2012,Asthma,
107,MOHAVE,62.62,45.59,2012,Asthma,
108,GILA,59.68,45.59,2012,Asthma,
109,YUMA,49.65,45.59,2012,Asthma,
110,MARICOPA,48.44,45.59,2012,Asthma,
111,YAVAPAI,45.37,45.59,2012,Asthma,
112,COCHISE,45.25,45.59,2012,Asthma,
113,PINAL,40.28,45.59,2012,Asthma,
114,PIMA,36.71,45.59,2012,Asthma,
115,APACHE,36.68,45.59,2012,Asthma,
116,NAVAJO,33.66,45.59,2012,Asthma,
117,SANTA CRUZ,27.39,45.59,2012,Asthma,
118,COCONINO,23.99,45.59,2012,Asthma,
119,GREENLEE,16.81,45.59,2012,Asthma,
120,GILA,70.2,40.83,2011,Asthma,
121,LA PAZ,68.39,40.83,2011,Asthma,
122,MOHAVE,59.11,40.83,2011,Asthma,
123,APACHE,57.67,40.83,2011,Asthma,
124,GRAHAM,55.43,40.83,2011,Asthma,
125,YUMA,44.23,40.83,2011,Asthma,
126,COCHISE,42.38,40.83,2011,Asthma,
127,MARICOPA,41.92,40.83,2011,Asthma,
128,YAVAPAI,39.46,40.83,2011,Asthma,
129,PINAL,35.48,40.83,2011,Asthma,
130,PIMA,34.58,40.83,2011,Asthma,
131,NAVAJO,31.11,40.83,2011,Asthma,
132,COCONINO,28.36,40.83,2011,Asthma,
133,SANTA CRUZ,25.97,40.83,2011,Asthma,
134,GREENLEE,21.75,40.83,2011,Asthma,
135,LA PAZ,82.85,40.57,2010,Asthma,
136,GILA,60.93,40.57,2010,Asthma,
137,MOHAVE,60.87,40.57,2010,Asthma,
138,GRAHAM,57.6,40.57,2010,Asthma,
139,COCHISE,51.7,40.57,2010,Asthma,
140,APACHE,45.09,40.57,2010,Asthma,
141,YUMA,42.51,40.57,2010,Asthma,
142,MARICOPA,41.78,40.57,2010,Asthma,
143,YAVAPAI,41.6,40.57,2010,Asthma,
144,PIMA,35.41,40.57,2010,Asthma,
145,COCONINO,30.82,40.57,2010,Asthma,
146,SANTA CRUZ,30.21,40.57,2010,Asthma,
147,PINAL,29.84,40.57,2010,Asthma,
148,GREENLEE,28.24,40.57,2010,Asthma,
149,NAVAJO,26.24,40.57,2010,Asthma,
150,GRAHAM,59.85,41.32,2009,Asthma,
151,MOHAVE,59.72,41.32,2009,Asthma,
152,COCHISE,58.68,41.32,2009,Asthma,
153,YUMA,56.63,41.32,2009,Asthma,
154,GILA,50.86,41.32,2009,Asthma,
155,LA PAZ,50.72,41.32,2009,Asthma,
156,APACHE,43.98,41.32,2009,Asthma,
157,MARICOPA,41.96,41.32,2009,Asthma,
158,YAVAPAI,41.81,41.32,2009,Asthma,
159,PIMA,35.91,41.32,2009,Asthma,
160,SANTA CRUZ,33.33,41.32,2009,Asthma,
161,PINAL,33.03,41.32,2009,Asthma,
162,NAVAJO,28.62,41.32,2009,Asthma,
163,GREENLEE,26.48,41.32,2009,Asthma,
